District,Year,Location,Reported_Cases,Male_Victims,Female_Victims,Victims_Under18
Chamarajanagar2,2023,Public Place,3,0,3,0
RuralAreaX,2023,Domestic,6,0,6,2
Tumakuru,2023,Online,4,0,4,1
Ramanagara,2023,School/College,3,0,3,0
Bagalkot,2023,School/College,2,0,2,0
Mandya,2023,Online,3,0,3,0
Chamarajanagar2,2023,School/College,1,0,1,0
Gadag,2023,School/College,6,1,5,1
Bengaluru Urban,2023,School/College,5,0,5,1
Hubballi,2023,School/College,6,0,6,2
Bengaluru Urban,2023,Domestic,3,0,3,0
Chikkaballapura,2023,Domestic,4,0,4,1
Mandya,2023,Workplace,1,0,1,0
Vijayanagar,2023,School/College,1,0,1,0
Mysuru,2023,Domestic,4,0,4,0
Koppal,2023,Workplace,3,0,3,1
Mysuru,2023,Domestic,3,0,3,1
Kolar,2023,Public Place,3,0,3,0
Chitradurga,2023,Public Place,2,0,2,0
Chikkamagaluru,2023,Public Place,4,0,4,1
Mandya,2023,Online,3,0,3,0
Bengaluru Rural,2023,Public Place,2,0,2,0
Davangere,2023,Workplace,3,0,3,0
Bengaluru Urban,2023,Public Place,8,0,8,2
Raichur,2023,School/College,0,0,0,0
Ramanagara,2023,Workplace,5,0,5,2
Yadgir,2023,Online,2,0,2,0
Chikkamagaluru,2023,Domestic,8,1,7,2
Ramanagara,2023,School/College,0,0,0,0
Raichur,2023,Workplace,9,1,8,1
Kolar,2023,Public Place,5,0,5,1
Mandya,2023,Domestic,2,0,2,0
Chikkaballapura,2023,Workplace,2,0,2,0
Chamarajanagar,2023,Online,4,0,4,1
Vijayapura,2023,Workplace,3,0,3,1
Dharwad,2023,Public Place,1,0,1,0
Mandya,2023,Public Place,4,0,4,0
Chikkamagaluru,2023,Workplace,1,0,1,0
Chamarajanagar2,2023,Workplace,2,0,2,0
Yadgir,2023,Workplace,4,0,4,0
Chamarajanagar,2023,Online,2,0,2,0
Haveri,2023,School/College,1,0,1,0
Kodagu,2023,Domestic,10,1,9,2
Raichur,2023,Workplace,5,0,5,2
Yadgir,2023,Online,6,1,5,2
Mandya,2023,Public Place,0,0,0,0
Haveri,2023,School/College,1,0,1,0
Bengaluru Urban,2023,School/College,2,0,2,0
Chikkaballapura,2023,Online,5,0,5,1
Gadag,2023,School/College,5,0,5,2
Shimoga,2023,Online,4,0,4,0
Tumakuru,2023,Online,5,0,5,2
Mangaluru,2023,Workplace,1,0,1,0
Ramanagara,2023,School/College,2,0,2,0
Ramanagara,2023,School/College,4,0,4,0
Shivamogga,2023,Public Place,4,0,4,1
Udupi,2023,Public Place,9,1,8,1
Chamarajanagar2,2023,Workplace,1,0,1,0
Hubballi,2023,Domestic,5,0,5,1
