District,Crime_Type,Year,Total_Cases,Male_Victims,Female_Victims,Victims_Under18,Victims_18to45,Victims_Above45,Arrests_Made,Pending_Cases,Convictions
RuralAreaX,Kidnapping,2023,9,4,5,0,7,2,4,5,1
Chamarajanagar2,Murder,2023,2,1,1,0,1,1,0,2,0
Vijayanagar,Murder,2023,10,5,5,1,6,3,3,7,1
RuralAreaX,Rape,2023,40,22,18,2,33,5,23,17,2
Ramanagara,Cyber Crime,2023,68,45,23,4,54,10,37,31,8
Belagavi,Theft,2023,145,73,72,12,115,18,121,24,11
Mandya,Kidnapping,2023,3,1,2,0,1,2,1,2,0
Yadgir,Rape,2023,54,24,30,4,43,7,38,16,15
Raichur,Cheating,2023,120,78,42,13,88,19,40,80,13
Kolar,Dowry Death,2023,9,4,5,1,7,1,7,2,1
Bengaluru Urban,Theft,2023,116,50,66,12,88,16,49,67,11
Hubballi,Cheating,2023,106,43,63,10,68,28,76,30,27
Hassan,Dowry Death,2023,11,4,7,1,7,3,7,4,1
Chamarajanagar2,Domestic Violence,2023,87,45,42,13,68,6,69,18,30
Dharwad,Domestic Violence,2023,65,35,30,3,42,20,28,37,10
Mangaluru,Dowry Death,2023,5,1,4,0,3,2,1,4,0
Chikkaballapura,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Mangaluru,Rape,2023,33,17,16,5,20,8,27,6,4
Chamarajanagar,Cheating,2023,93,39,54,5,72,16,49,44,16
Shivamogga,Murder,2023,8,2,6,1,5,2,2,6,0
Uttara Kannada,Dowry Death,2023,6,2,4,0,4,2,5,1,2
Vijayanagar,Kidnapping,2023,4,1,3,0,2,2,2,2,0
Chikkaballapura,Kidnapping,2023,4,2,2,0,2,2,1,3,0
Vijayanagar,Dowry Death,2023,6,2,4,1,4,1,2,4,0
Mangaluru,Domestic Violence,2023,87,29,58,3,57,27,29,58,13
Vijayanagar,Cyber Crime,2023,61,38,23,4,37,20,29,32,4
Chitradurga,Cheating,2023,101,54,47,10,70,21,31,70,14
Haveri,Cyber Crime,2023,82,53,29,10,52,20,41,41,17
Yadgir,Kidnapping,2023,6,3,3,0,4,2,3,3,0
Haveri,Robbery,2023,9,3,6,0,6,3,4,5,0
Mandya,Rape,2023,28,9,19,4,23,1,18,10,2
Shivamogga,Cyber Crime,2023,58,28,30,8,40,10,51,7,11
Bagalkot,Robbery,2023,5,2,3,0,3,2,2,3,0
Kalaburagi,Domestic Violence,2023,54,29,25,6,32,16,20,34,9
Kolar,Cyber Crime,2023,51,27,24,3,33,15,13,38,3
Kalaburagi,Cheating,2023,82,39,43,14,55,13,60,22,17
Chitradurga,Dowry Death,2023,3,1,2,0,2,1,1,2,0
Hubballi,Molestation,2023,29,9,20,3,17,9,8,21,2
Hassan,Cheating,2023,67,33,34,6,44,17,30,37,13
Dharwad,Cyber Crime,2023,55,18,37,3,39,13,43,12,16
Bidar,Cyber Crime,2023,60,39,21,3,43,14,15,45,6
Belagavi,Dowry Death,2023,8,4,4,1,5,2,6,2,1
Chamarajanagar,Kidnapping,2023,6,2,4,0,3,3,2,4,0
Kalaburagi,Robbery,2023,14,8,6,0,9,5,4,10,1
Koppal,Rape,2023,37,17,20,2,30,5,19,18,5
Chikkamagaluru,Domestic Violence,2023,78,49,29,4,55,19,49,29,15
Vijayapura,Murder,2023,6,1,5,0,5,1,4,2,1
Chitradurga,Cyber Crime,2023,63,21,42,9,46,8,49,14,7
Dharwad,Rape,2023,54,17,37,3,44,7,39,15,3
Yadgir,Dowry Death,2023,11,5,6,0,8,3,9,2,1
Udupi,Rape,2023,37,23,14,6,27,4,17,20,2
Chitradurga,Cyber Crime,2023,54,29,25,3,34,17,46,8,20
Bengaluru Rural,Cyber Crime,2023,48,23,25,3,36,9,26,22,3
Gadag,Domestic Violence,2023,76,46,30,6,47,23,58,18,17
Shimoga,Theft,2023,104,50,54,9,79,16,71,33,25
Ramanagara,Molestation,2023,12,4,8,0,8,4,5,7,1
Kolar,Cheating,2023,85,57,28,5,63,17,62,23,20
Chamarajanagar2,Molestation,2023,29,16,13,1,24,4,17,12,3
Tumakuru,Kidnapping,2023,8,2,6,1,5,2,3,5,0
Bidar,Rape,2023,37,18,19,3,23,11,26,11,10
Mandya,Kidnapping,2023,8,2,6,1,6,1,2,6,0
Vijayanagar,Cyber Crime,2023,73,26,47,13,58,2,36,37,3
Hassan,Cheating,2023,73,36,37,5,53,15,35,38,8
Yadgir,Cheating,2023,73,32,41,4,51,18,49,24,22
Koppal,Domestic Violence,2023,68,33,35,9,57,2,38,30,11
Kalaburagi,Rape,2023,31,19,12,2,25,4,26,5,6
Bengaluru Rural,Domestic Violence,2023,78,45,33,10,62,6,50,28,7
Chikkamagaluru,Kidnapping,2023,6,3,3,0,4,2,3,3,0
Mangaluru,Kidnapping,2023,7,4,3,0,5,2,2,5,0
Mandya,Kidnapping,2023,9,4,5,1,6,2,6,3,2
Chamarajanagar,Kidnapping,2023,12,6,6,0,8,4,7,5,2
Dharwad,Rape,2023,29,18,11,4,19,6,25,4,3
Chikkamagaluru,Theft,2023,125,41,84,4,86,35,46,79,9
Yadgir,Molestation,2023,35,19,16,4,27,4,15,20,6
Kalaburagi,Cheating,2023,79,27,52,3,65,11,39,40,8
Bagalkot,Cyber Crime,2023,53,20,33,8,39,6,15,38,3
Yadgir,Domestic Violence,2023,78,44,34,2,65,11,23,55,2
Haveri,Cheating,2023,113,45,68,18,70,25,38,75,17
Chikkamagaluru,Kidnapping,2023,6,3,3,0,4,2,2,4,0
RuralAreaX,Dowry Death,2023,6,4,2,0,4,2,5,1,1
Bengaluru Urban,Dowry Death,2023,6,2,4,0,4,2,3,3,0
RuralAreaX,Cyber Crime,2023,53,27,26,7,33,13,27,26,3
Chikkamagaluru,Rape,2023,34,21,13,6,24,4,25,9,5
Tumakuru,Robbery,2023,17,11,6,1,12,4,7,10,3
Shimoga,Kidnapping,2023,5,3,2,0,3,2,4,1,0
Bidar,Cheating,2023,84,47,37,7,60,17,35,49,9
Haveri,Rape,2023,31,18,13,5,24,2,18,13,4
Uttara Kannada,Molestation,2023,26,10,16,2,17,7,11,15,2
Kodagu,Rape,2023,55,25,30,10,37,8,36,19,8
Hubballi,Robbery,2023,22,13,9,2,17,3,11,11,0
Ramanagara,Dowry Death,2023,4,1,3,0,3,1,1,3,0
Chitradurga,Robbery,2023,18,6,12,2,15,1,15,3,3
Tumakuru,Theft,2023,99,58,41,7,67,25,86,13,25
Mangaluru,Theft,2023,151,93,58,26,115,10,43,108,18
Chikkaballapura,Molestation,2023,33,22,11,1,24,8,28,5,9
Kodagu,Theft,2023,137,51,86,8,93,36,62,75,9
Mangaluru,Cheating,2023,97,52,45,18,79,0,45,52,19
Raichur,Theft,2023,133,67,66,15,113,5,35,98,9
Vijayapura,Molestation,2023,21,12,9,4,15,2,10,11,1
Uttara Kannada,Robbery,2023,21,8,13,3,15,3,14,7,4
Davangere,Robbery,2023,18,6,12,1,14,3,14,4,5
Uttara Kannada,Cheating,2023,73,39,34,8,61,4,48,25,12
Raichur,Molestation,2023,26,15,11,1,20,5,17,9,0
Chitradurga,Cheating,2023,73,39,34,6,49,18,47,26,9
Davangere,Kidnapping,2023,5,2,3,0,3,2,2,3,0
Hassan,Kidnapping,2023,10,5,5,1,7,2,3,7,0
Ramanagara,Robbery,2023,24,11,13,2,17,5,15,9,1
Kalaburagi,Cyber Crime,2023,52,18,34,3,34,15,42,10,15
Hubballi,Rape,2023,40,24,16,2,33,5,23,17,2
Mangaluru,Cheating,2023,95,52,43,8,78,9,35,60,16
Vijayapura,Robbery,2023,12,7,5,1,9,2,7,5,2
Koppal,Dowry Death,2023,6,2,4,1,4,1,4,2,1
Chitradurga,Rape,2023,37,13,24,1,31,5,23,14,8
Yadgir,Domestic Violence,2023,84,53,31,15,51,18,71,13,28
Shimoga,Robbery,2023,14,7,7,1,9,4,8,6,2
Bengaluru Rural,Domestic Violence,2023,60,39,21,2,39,19,39,21,18
Mangaluru,Rape,2023,27,15,12,2,19,6,20,7,6
Kodagu,Dowry Death,2023,6,3,3,0,4,2,5,1,0
Chitradurga,Cyber Crime,2023,73,31,42,6,46,21,52,21,11
Yadgir,Cyber Crime,2023,71,25,46,4,51,16,23,48,7
Chamarajanagar,Rape,2023,43,20,23,6,35,2,11,32,4
Chamarajanagar2,Cyber Crime,2023,60,39,21,3,42,15,37,23,13
Gadag,Domestic Violence,2023,69,43,26,13,43,13,29,40,11
Belagavi,Theft,2023,152,64,88,21,110,21,82,70,26
Shimoga,Murder,2023,8,2,6,1,4,3,5,3,0
Bengaluru Rural,Kidnapping,2023,4,2,2,0,2,2,1,3,0
Mangaluru,Murder,2023,12,8,4,1,8,3,7,5,1
Yadgir,Robbery,2023,25,16,9,1,19,5,6,19,2
Kodagu,Kidnapping,2023,6,4,2,0,3,3,3,3,0
Mandya,Cheating,2023,87,41,46,8,57,22,41,46,4
Chamarajanagar2,Cyber Crime,2023,72,26,46,2,53,17,58,14,25
Bengaluru Urban,Kidnapping,2023,11,4,7,1,6,4,7,4,0
Uttara Kannada,Rape,2023,24,13,11,3,17,4,6,18,2
Gadag,Cyber Crime,2023,73,41,32,8,48,17,36,37,17
Chamarajanagar,Rape,2023,46,25,21,7,28,11,32,14,5
Gadag,Molestation,2023,19,10,9,2,11,6,8,11,0
Chitradurga,Cyber Crime,2023,55,20,35,10,45,0,27,28,13
Chamarajanagar2,Kidnapping,2023,5,2,3,0,3,2,3,2,1
Bengaluru Urban,Domestic Violence,2023,67,25,42,9,54,4,27,40,4
Kolar,Murder,2023,8,3,5,1,5,2,5,3,0
Gadag,Rape,2023,43,27,16,5,28,10,20,23,5
Chikkamagaluru,Dowry Death,2023,7,3,4,0,5,2,5,2,0
Gadag,Rape,2023,52,23,29,9,32,11,29,23,10
Bengaluru Rural,Domestic Violence,2023,52,26,26,9,41,2,32,20,5
Mangaluru,Robbery,2023,18,9,9,2,14,2,6,12,1
RuralAreaX,Kidnapping,2023,3,1,2,0,2,1,2,1,0
Chitradurga,Kidnapping,2023,8,3,5,1,6,1,3,5,1
Mandya,Domestic Violence,2023,77,33,44,11,63,3,46,31,2
Shivamogga,Kidnapping,2023,3,1,2,0,2,1,1,2,0
Vijayapura,Cheating,2023,75,24,51,9,51,15,46,29,14
Chitradurga,Cyber Crime,2023,62,39,23,11,40,11,44,18,6
Chamarajanagar,Robbery,2023,9,5,4,0,7,2,7,2,1
Ballari,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Kodagu,Murder,2023,6,4,2,0,4,2,4,2,0
Kodagu,Robbery,2023,17,10,7,0,13,4,6,11,2
Bidar,Kidnapping,2023,6,2,4,0,4,2,3,3,0
Bengaluru Rural,Theft,2023,111,72,39,16,76,19,73,38,36
Raichur,Theft,2023,151,86,65,9,105,37,43,108,18
Tumakuru,Cyber Crime,2023,75,32,43,3,56,16,66,9,17
Chikkaballapura,Dowry Death,2023,5,2,3,0,4,1,1,4,0
Mangaluru,Cheating,2023,85,29,56,8,51,26,71,14,16
Chikkamagaluru,Robbery,2023,19,8,11,1,13,5,12,7,3
Koppal,Murder,2023,4,2,2,0,3,1,2,2,0
Shivamogga,Dowry Death,2023,0,0,0,0,0,0,0,0,0
Vijayapura,Kidnapping,2023,7,2,5,0,5,2,3,4,0
Shimoga,Cheating,2023,71,26,45,12,58,1,45,26,18
Shimoga,Robbery,2023,22,10,12,1,15,6,19,3,1
Vijayanagar,Dowry Death,2023,12,4,8,0,7,5,10,2,2
Hassan,Murder,2023,1,0,1,0,0,1,0,1,0
Udupi,Rape,2023,42,25,17,8,35,0,26,16,4
Hubballi,Theft,2023,163,97,66,22,99,42,106,57,25
Vijayapura,Molestation,2023,20,12,8,3,14,3,9,11,3
Raichur,Rape,2023,43,23,20,7,33,3,34,9,13
Chamarajanagar,Theft,2023,148,58,90,11,123,14,86,62,30
Chamarajanagar,Domestic Violence,2023,69,42,27,9,53,7,43,26,18
Koppal,Molestation,2023,29,19,10,2,24,3,22,7,4
Yadgir,Cheating,2023,89,42,47,9,58,22,65,24,26
Bidar,Murder,2023,3,0,3,0,1,2,0,3,0
Bengaluru Rural,Molestation,2023,24,13,11,1,17,6,10,14,3
RuralAreaX,Molestation,2023,24,10,14,3,15,6,6,18,1
Haveri,Theft,2023,111,56,55,10,83,18,37,74,7
Chikkamagaluru,Robbery,2023,20,13,7,3,13,4,9,11,1
Uttara Kannada,Cheating,2023,74,33,41,3,61,10,26,48,2
Mandya,Theft,2023,115,44,71,10,92,13,52,63,13
Vijayapura,Murder,2023,8,2,6,1,6,1,3,5,1
Kodagu,Cyber Crime,2023,77,28,49,5,48,24,26,51,2
Ballari,Domestic Violence,2023,96,53,43,11,75,10,39,57,18
Shimoga,Kidnapping,2023,1,0,1,0,0,1,0,1,0
Gadag,Cyber Crime,2023,59,27,32,3,45,11,25,34,3
Ballari,Kidnapping,2023,4,1,3,0,2,2,1,3,0
RuralAreaX,Rape,2023,40,21,19,5,28,7,25,15,5
Udupi,Cheating,2023,113,56,57,13,89,11,81,32,13
Chamarajanagar2,Rape,2023,39,20,19,4,32,3,17,22,3
Chamarajanagar2,Theft,2023,131,74,57,14,104,13,37,94,9
Raichur,Theft,2023,128,79,49,18,102,8,49,79,13
Bagalkot,Cyber Crime,2023,45,25,20,7,31,7,27,18,7
Ramanagara,Cyber Crime,2023,64,41,23,7,51,6,26,38,4
Kalaburagi,Molestation,2023,26,10,16,5,20,1,18,8,2
Chamarajanagar2,Molestation,2023,31,10,21,1,23,7,21,10,2
Yadgir,Kidnapping,2023,6,2,4,0,3,3,3,3,0
Hubballi,Cheating,2023,94,37,57,3,69,22,40,54,11
Davangere,Dowry Death,2023,6,3,3,0,4,2,1,5,0
Uttara Kannada,Domestic Violence,2023,63,29,34,7,46,10,37,26,8
Bengaluru Rural,Rape,2023,43,13,30,3,26,14,26,17,1
Shivamogga,Rape,2023,35,18,17,5,27,3,27,8,2
Haveri,Theft,2023,135,89,46,10,87,38,88,47,31
RuralAreaX,Dowry Death,2023,1,0,1,0,0,1,0,1,0
Bagalkot,Molestation,2023,24,9,15,1,17,6,14,10,4
Shivamogga,Theft,2023,101,70,31,16,73,12,30,71,3
Udupi,Theft,2023,129,41,88,17,94,18,48,81,22
Mysuru,Dowry Death,2023,3,1,2,0,2,1,1,2,0
Tumakuru,Dowry Death,2023,2,1,1,0,1,1,0,2,0
Chamarajanagar2,Kidnapping,2023,8,3,5,0,5,3,5,3,2
Chitradurga,Rape,2023,36,22,14,2,28,6,27,9,11
Kolar,Dowry Death,2023,5,2,3,0,3,2,3,2,1
Uttara Kannada,Robbery,2023,10,3,7,1,6,3,2,8,0
Gadag,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Kolar,Kidnapping,2023,5,2,3,0,3,2,2,3,0
Bagalkot,Cyber Crime,2023,46,29,17,4,32,10,14,32,4
Bengaluru Rural,Dowry Death,2023,6,3,3,0,4,2,5,1,1
Chamarajanagar2,Molestation,2023,32,12,20,2,21,9,26,6,6
Bengaluru Urban,Rape,2023,26,14,12,1,18,7,9,17,1
Chamarajanagar,Dowry Death,2023,9,3,6,1,6,2,4,5,1
Ballari,Domestic Violence,2023,77,46,31,5,56,16,57,20,26
Gadag,Rape,2023,32,17,15,1,22,9,18,14,3
Hubballi,Cheating,2023,108,67,41,3,88,17,76,32,16
Mandya,Cheating,2023,65,35,30,4,43,18,16,49,4
Belagavi,Rape,2023,57,36,21,6,40,11,24,33,9
Dharwad,Cyber Crime,2023,55,23,32,6,45,4,45,10,15
Chikkamagaluru,Domestic Violence,2023,65,38,27,10,48,7,25,40,12
Bengaluru Rural,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Chamarajanagar2,Rape,2023,35,15,20,1,23,11,25,10,10
Mysuru,Robbery,2023,18,9,9,1,11,6,15,3,5
Gadag,Theft,2023,121,83,38,19,93,9,35,86,4
Ballari,Molestation,2023,26,8,18,4,17,5,7,19,3
Bidar,Molestation,2023,13,7,6,1,8,4,4,9,1
Koppal,Domestic Violence,2023,70,42,28,3,54,13,37,33,14
Kodagu,Murder,2023,0,0,0,0,0,0,0,0,0
Mangaluru,Kidnapping,2023,8,3,5,0,6,2,6,2,1
RuralAreaX,Cyber Crime,2023,56,20,36,5,37,14,50,6,7
Ballari,Theft,2023,142,57,85,15,91,36,98,44,24
Yadgir,Kidnapping,2023,2,1,1,0,1,1,0,2,0
Uttara Kannada,Robbery,2023,11,5,6,2,9,0,4,7,0
Shimoga,Kidnapping,2023,5,2,3,0,3,2,3,2,0
Gadag,Theft,2023,121,78,43,18,96,7,66,55,5
Ballari,Rape,2023,31,18,13,3,19,9,27,4,4
Gadag,Robbery,2023,19,11,8,2,12,5,8,11,2
Ballari,Robbery,2023,24,12,12,4,15,5,16,8,2
Vijayanagar,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Shimoga,Dowry Death,2023,4,2,2,0,2,2,3,1,1
Belagavi,Cheating,2023,130,90,40,7,81,42,71,59,10
Chikkaballapura,Cheating,2023,101,37,64,6,67,28,89,12,40
Raichur,Cyber Crime,2023,65,42,23,5,46,14,21,44,7
Ballari,Robbery,2023,14,6,8,0,9,5,12,2,2
Udupi,Kidnapping,2023,2,1,1,0,1,1,1,1,0
Udupi,Kidnapping,2023,6,2,4,0,4,2,2,4,0
Raichur,Robbery,2023,16,8,8,2,12,2,6,10,0
Raichur,Kidnapping,2023,0,0,0,0,0,0,0,0,0
Hubballi,Cheating,2023,113,60,53,18,74,21,46,67,4
Shimoga,Rape,2023,37,15,22,2,26,9,9,28,4
Belagavi,Murder,2023,3,1,2,0,2,1,2,1,0
Shimoga,Kidnapping,2023,3,1,2,0,2,1,0,3,0
Bidar,Robbery,2023,17,9,8,1,14,2,12,5,2
Uttara Kannada,Robbery,2023,13,7,6,1,8,4,11,2,5
Bidar,Domestic Violence,2023,66,19,47,9,52,5,30,36,1
Shimoga,Molestation,2023,23,12,11,3,18,2,9,14,1
Bengaluru Rural,Cyber Crime,2023,44,26,18,3,33,8,16,28,1
RuralAreaX,Molestation,2023,24,15,9,1,15,8,18,6,4
Mandya,Rape,2023,40,16,24,3,25,12,35,5,14
Bidar,Cyber Crime,2023,66,26,40,10,45,11,50,16,21
Hubballi,Kidnapping,2023,5,1,4,0,3,2,2,3,0
Ramanagara,Molestation,2023,20,11,9,3,16,1,7,13,0
Chamarajanagar,Theft,2023,138,73,65,10,89,39,81,57,39
Hassan,Murder,2023,5,1,4,0,3,2,2,3,0
Kodagu,Domestic Violence,2023,90,34,56,4,74,12,42,48,18
Tumakuru,Robbery,2023,22,10,12,4,14,4,17,5,0
Uttara Kannada,Domestic Violence,2023,61,24,37,9,45,7,24,37,5
Yadgir,Dowry Death,2023,11,7,4,0,8,3,7,4,1
Mandya,Kidnapping,2023,12,7,5,1,7,4,9,3,2
Hassan,Dowry Death,2023,4,1,3,0,3,1,1,3,0
Koppal,Cyber Crime,2023,59,19,40,3,43,13,16,43,6
Davangere,Theft,2023,122,44,78,9,89,24,98,24,48
Kalaburagi,Theft,2023,103,34,69,15,76,12,61,42,19
Kalaburagi,Murder,2023,2,1,1,0,1,1,1,1,0
Tumakuru,Robbery,2023,13,5,8,2,10,1,3,10,1
Chamarajanagar,Theft,2023,158,101,57,27,102,29,75,83,11
Vijayanagar,Robbery,2023,18,11,7,1,14,3,10,8,3
Hubballi,Theft,2023,165,88,77,30,117,18,105,60,18
Kolar,Theft,2023,124,62,62,21,101,2,89,35,42
Mangaluru,Kidnapping,2023,7,2,5,1,5,1,3,4,1
Chamarajanagar,Kidnapping,2023,4,2,2,0,2,2,2,2,0
Bengaluru Urban,Kidnapping,2023,5,2,3,0,4,1,4,1,1
Mandya,Theft,2023,138,56,82,15,107,16,34,104,4
Shimoga,Rape,2023,35,20,15,2,28,5,13,22,3
Mysuru,Cheating,2023,91,37,54,3,68,20,44,47,6
Dharwad,Dowry Death,2023,6,3,3,0,3,3,3,3,1
Tumakuru,Rape,2023,48,30,18,1,37,10,23,25,2
Vijayanagar,Murder,2023,9,4,5,0,7,2,6,3,1
Ramanagara,Dowry Death,2023,4,1,3,0,3,1,1,3,0
Tumakuru,Cheating,2023,100,59,41,9,62,29,61,39,22
Vijayapura,Kidnapping,2023,7,2,5,0,4,3,5,2,0
Shimoga,Domestic Violence,2023,75,36,39,10,59,6,32,43,7
Bidar,Cyber Crime,2023,55,21,34,10,44,1,14,41,5
Bagalkot,Cheating,2023,63,30,33,11,43,9,23,40,8
Mangaluru,Kidnapping,2023,11,4,7,1,8,2,5,6,1
Uttara Kannada,Dowry Death,2023,7,4,3,0,5,2,4,3,1
Hassan,Theft,2023,99,67,32,15,70,14,51,48,23
Chamarajanagar,Rape,2023,52,27,25,8,41,3,44,8,3
Chikkamagaluru,Cyber Crime,2023,54,34,20,4,33,17,22,32,2
Uttara Kannada,Dowry Death,2023,6,2,4,1,5,0,4,2,1
Kodagu,Molestation,2023,31,14,17,3,20,8,26,5,5
Hassan,Robbery,2023,8,4,4,1,5,2,2,6,0
Koppal,Dowry Death,2023,11,4,7,0,8,3,7,4,1
Bengaluru Urban,Theft,2023,109,71,38,7,72,30,82,27,23
Bagalkot,Robbery,2023,6,2,4,0,4,2,2,4,0
Kalaburagi,Murder,2023,6,2,4,1,3,2,2,4,0
Kolar,Rape,2023,31,18,13,5,22,4,17,14,4
Kodagu,Dowry Death,2023,11,5,6,1,6,4,5,6,0
Yadgir,Robbery,2023,19,11,8,1,15,3,16,3,6
Hubballi,Theft,2023,133,75,58,7,98,28,103,30,29
Gadag,Cyber Crime,2023,80,35,45,8,67,5,38,42,15
Kodagu,Molestation,2023,29,17,12,2,19,8,16,13,1
Raichur,Kidnapping,2023,6,1,5,0,4,2,2,4,0
Yadgir,Rape,2023,35,24,11,5,23,7,21,14,10
