District,Crime_Type,Year,Total_Cases,Male_Victims,Female_Victims,Victims_Under18,Victims_18to45,Victims_Above45,Arrests_Made,Pending_Cases,Convictions
Gadag,Cyber Crime,2024,74,42,32,5,54,15,61,13,29
Bengaluru Rural,Rape,2024,43,22,21,2,26,15,22,21,6
Bidar,Domestic Violence,2024,71,32,39,14,46,11,24,47,3
Kodagu,Theft,2024,150,76,74,26,90,34,96,54,13
Bidar,Rape,2024,37,23,14,2,28,7,32,5,13
Ramanagara,Dowry Death,2024,12,7,5,0,8,4,5,7,1
Vijayanagar,Murder,2024,5,2,3,0,3,2,1,4,0
Chamarajanagar,Murder,2024,9,5,4,1,6,2,5,4,1
Ballari,Murder,2024,5,2,3,0,3,2,2,3,0
Yadgir,Theft,2024,125,57,68,18,92,15,65,60,26
Ramanagara,Murder,2024,2,0,2,0,1,1,1,1,0
Udupi,Theft,2024,129,83,46,20,97,12,63,66,8
Vijayanagar,Cyber Crime,2024,82,56,26,12,53,17,52,30,14
Bengaluru Urban,Murder,2024,1,0,1,0,0,1,0,1,0
Chitradurga,Theft,2024,119,54,65,10,90,19,57,62,16
Belagavi,Cheating,2024,89,47,42,12,65,12,40,49,7
Kalaburagi,Molestation,2024,26,12,14,1,19,6,10,16,3
Bagalkot,Rape,2024,31,19,12,3,21,7,16,15,4
Chitradurga,Domestic Violence,2024,59,22,37,6,40,13,33,26,9
Yadgir,Theft,2024,142,86,56,27,106,9,98,44,23
Tumakuru,Cheating,2024,92,28,64,15,56,21,52,40,5
Bagalkot,Domestic Violence,2024,88,31,57,11,72,5,35,53,10
Vijayanagar,Rape,2024,34,15,19,1,23,10,29,5,1
RuralAreaX,Murder,2024,7,4,3,0,5,2,2,5,0
Haveri,Kidnapping,2024,14,4,10,2,9,3,7,7,2
Chamarajanagar,Theft,2024,143,71,72,6,91,46,47,96,5
Bidar,Domestic Violence,2024,68,30,38,2,42,24,36,32,13
Ramanagara,Domestic Violence,2024,78,50,28,6,58,14,28,50,13
Vijayanagar,Murder,2024,3,1,2,0,2,1,1,2,0
Dharwad,Domestic Violence,2024,62,27,35,2,49,11,19,43,6
Dharwad,Domestic Violence,2024,75,43,32,7,63,5,39,36,7
Mangaluru,Robbery,2024,16,8,8,2,11,3,5,11,0
Yadgir,Theft,2024,154,78,76,26,112,16,40,114,8
Raichur,Cyber Crime,2024,75,46,29,8,46,21,34,41,5
Dharwad,Theft,2024,101,68,33,5,66,30,68,33,19
Ballari,Kidnapping,2024,4,1,3,0,2,2,1,3,0
Kolar,Cheating,2024,85,35,50,13,51,21,52,33,12
Gadag,Murder,2024,4,2,2,0,2,2,1,3,0
Shimoga,Murder,2024,6,3,3,1,4,1,2,4,0
Mandya,Kidnapping,2024,3,1,2,0,1,2,1,2,0
Haveri,Kidnapping,2024,12,4,8,0,8,4,3,9,0
Haveri,Cyber Crime,2024,63,34,29,3,49,11,27,36,9
Hassan,Robbery,2024,15,10,5,1,9,5,5,10,2
Shimoga,Murder,2024,3,0,3,0,2,1,1,2,0
Kolar,Dowry Death,2024,1,0,1,0,0,1,0,1,0
Yadgir,Murder,2024,14,7,7,2,10,2,9,5,2
Tumakuru,Domestic Violence,2024,64,31,33,2,53,9,50,14,5
Bagalkot,Domestic Violence,2024,48,16,32,8,31,9,21,27,2
Mangaluru,Cyber Crime,2024,66,26,40,8,46,12,21,45,9
Chikkamagaluru,Robbery,2024,24,9,15,1,18,5,21,3,6
Vijayanagar,Dowry Death,2024,8,5,3,0,6,2,4,4,1
Vijayanagar,Molestation,2024,27,8,19,4,16,7,21,6,8
Belagavi,Kidnapping,2024,2,1,1,0,1,1,1,1,0
Raichur,Rape,2024,54,36,18,7,44,3,35,19,10
Chamarajanagar,Murder,2024,3,0,3,0,1,2,2,1,0
Kolar,Cyber Crime,2024,60,31,29,6,45,9,49,11,4
Udupi,Murder,2024,5,3,2,0,3,2,2,3,0
Tumakuru,Molestation,2024,24,9,15,4,18,2,6,18,0
Tumakuru,Robbery,2024,10,4,6,1,6,3,4,6,1
Ballari,Kidnapping,2024,1,0,1,0,0,1,0,1,0
Kalaburagi,Murder,2024,8,4,4,0,5,3,4,4,0
Mangaluru,Theft,2024,127,83,44,19,85,23,66,61,16
Tumakuru,Rape,2024,35,20,15,3,27,5,22,13,3
Udupi,Murder,2024,0,0,0,0,0,0,0,0,0
Mysuru,Dowry Death,2024,5,3,2,0,3,2,3,2,0
Chikkaballapura,Murder,2024,5,2,3,0,3,2,3,2,0
Shivamogga,Theft,2024,128,80,48,11,97,20,71,57,10
Kodagu,Robbery,2024,15,7,8,2,10,3,5,10,1
Bengaluru Rural,Domestic Violence,2024,43,18,25,6,34,3,25,18,8
Gadag,Murder,2024,6,2,4,0,4,2,3,3,1
Bengaluru Rural,Murder,2024,4,1,3,0,3,1,1,3,0
Bengaluru Urban,Dowry Death,2024,1,0,1,0,0,1,0,1,0
Dharwad,Theft,2024,104,54,50,8,74,22,49,55,20
Udupi,Kidnapping,2024,2,1,1,0,1,1,0,2,0
Chikkamagaluru,Murder,2024,0,0,0,0,0,0,0,0,0
Tumakuru,Dowry Death,2024,7,4,3,1,4,2,4,3,1
Belagavi,Robbery,2024,14,6,8,1,10,3,7,7,0
Kodagu,Robbery,2024,23,11,12,1,17,5,6,17,2
Udupi,Dowry Death,2024,3,0,3,0,1,2,2,1,0
Yadgir,Murder,2024,3,1,2,0,2,1,2,1,0
Ramanagara,Kidnapping,2024,5,1,4,0,3,2,2,3,0
Chamarajanagar,Cheating,2024,93,37,56,8,69,16,54,39,16
Mysuru,Murder,2024,4,2,2,0,3,1,3,1,1
RuralAreaX,Domestic Violence,2024,72,30,42,4,59,9,55,17,14
Belagavi,Murder,2024,11,7,4,0,9,2,6,5,2
Haveri,Rape,2024,32,10,22,3,21,8,8,24,0
Vijayanagar,Domestic Violence,2024,98,50,48,18,62,18,55,43,19
Dharwad,Molestation,2024,14,8,6,1,8,5,7,7,2
Bidar,Rape,2024,47,25,22,4,36,7,28,19,5
Ramanagara,Dowry Death,2024,6,2,4,1,4,1,3,3,0
Shimoga,Cheating,2024,93,38,55,10,66,17,26,67,7
Udupi,Cyber Crime,2024,69,28,41,6,48,15,59,10,21
Koppal,Theft,2024,134,42,92,11,93,30,65,69,10
Haveri,Murder,2024,10,3,7,0,6,4,6,4,2
Shivamogga,Cyber Crime,2024,55,35,20,9,40,6,24,31,8
Tumakuru,Murder,2024,9,3,6,1,6,2,4,5,0
Ballari,Domestic Violence,2024,62,23,39,10,37,15,37,25,4
Chamarajanagar,Kidnapping,2024,9,4,5,0,6,3,7,2,1
Gadag,Molestation,2024,19,11,8,0,12,7,4,15,1
Mangaluru,Cheating,2024,102,45,57,19,77,6,69,33,25
Ramanagara,Molestation,2024,35,19,16,1,21,13,14,21,2
Dharwad,Murder,2024,5,3,2,0,3,2,3,2,1
Kolar,Molestation,2024,20,8,12,3,14,3,12,8,3
Haveri,Domestic Violence,2024,87,60,27,8,57,22,73,14,17
Hubballi,Rape,2024,36,13,23,2,30,4,25,11,11
Koppal,Domestic Violence,2024,69,32,37,12,57,0,31,38,6
Kodagu,Kidnapping,2024,11,4,7,0,9,2,7,4,2
Bagalkot,Cheating,2024,91,44,47,12,69,10,39,52,18
Chamarajanagar,Domestic Violence,2024,87,51,36,16,68,3,52,35,3
Gadag,Cyber Crime,2024,54,26,28,1,39,14,27,27,9
Udupi,Cyber Crime,2024,73,42,31,12,48,13,48,25,3
Bengaluru Rural,Cheating,2024,105,41,64,19,76,10,76,29,31
Bengaluru Rural,Rape,2024,37,22,15,6,31,0,18,19,1
Mysuru,Dowry Death,2024,2,1,1,0,1,1,1,1,0
Mandya,Kidnapping,2024,8,2,6,0,5,3,3,5,0
Koppal,Domestic Violence,2024,68,30,38,8,52,8,43,25,11
Hassan,Theft,2024,108,34,74,3,84,21,32,76,6
Dharwad,Dowry Death,2024,3,1,2,0,1,2,1,2,0
Haveri,Cheating,2024,103,41,62,19,83,1,56,47,24
Vijayapura,Dowry Death,2024,2,0,2,0,1,1,0,2,0
Chikkaballapura,Murder,2024,1,0,1,0,0,1,0,1,0
Tumakuru,Dowry Death,2024,7,3,4,0,5,2,2,5,0
Uttara Kannada,Molestation,2024,18,8,10,1,10,7,10,8,4
Yadgir,Murder,2024,4,2,2,0,2,2,2,2,0
Uttara Kannada,Molestation,2024,29,17,12,5,21,3,25,4,6
Shimoga,Cyber Crime,2024,66,25,41,4,41,21,52,14,25
Vijayanagar,Cheating,2024,92,59,33,3,69,20,34,58,15
Haveri,Rape,2024,41,18,23,3,27,11,18,23,6
Mangaluru,Robbery,2024,8,4,4,1,4,3,4,4,1
Mandya,Cheating,2024,93,34,59,3,72,18,68,25,28
Mandya,Dowry Death,2024,8,2,6,1,6,1,4,4,0
Shimoga,Cyber Crime,2024,73,26,47,6,53,14,25,48,9
Bagalkot,Rape,2024,27,10,17,0,22,5,20,7,4
Yadgir,Kidnapping,2024,9,3,6,0,5,4,3,6,0
Kalaburagi,Kidnapping,2024,5,2,3,0,3,2,3,2,1
Ramanagara,Cyber Crime,2024,46,30,16,5,29,12,16,30,3
Uttara Kannada,Molestation,2024,30,15,15,0,19,11,15,15,2
Yadgir,Domestic Violence,2024,89,43,46,14,67,8,45,44,2
Shimoga,Cheating,2024,79,40,39,5,54,20,30,49,5
Yadgir,Molestation,2024,23,7,16,3,17,3,14,9,5
Chitradurga,Molestation,2024,15,5,10,2,9,4,4,11,0
Kalaburagi,Rape,2024,32,21,11,2,25,5,23,9,3
Mandya,Theft,2024,143,57,86,16,86,41,84,59,17
Gadag,Kidnapping,2024,4,1,3,0,2,2,3,1,0
Belagavi,Domestic Violence,2024,91,38,53,17,75,0,27,64,7
Kolar,Dowry Death,2024,9,2,7,0,6,3,2,7,0
Chamarajanagar,Molestation,2024,32,18,14,3,27,2,28,4,3
Bengaluru Rural,Rape,2024,35,21,14,6,27,2,22,13,2
Kolar,Domestic Violence,2024,54,27,27,7,38,9,45,9,2
Raichur,Dowry Death,2024,6,2,4,0,4,2,3,3,1
Kodagu,Domestic Violence,2024,83,38,45,16,52,15,29,54,4
Hubballi,Cyber Crime,2024,56,37,19,8,41,7,15,41,3
Vijayanagar,Molestation,2024,22,14,8,2,16,4,7,15,0
RuralAreaX,Molestation,2024,31,10,21,5,21,5,17,14,7
Gadag,Dowry Death,2024,10,6,4,0,6,4,5,5,1
Chitradurga,Theft,2024,123,64,59,14,75,34,105,18,38
Koppal,Kidnapping,2024,10,3,7,1,6,3,4,6,1
Mysuru,Cheating,2024,87,55,32,10,69,8,77,10,9
Shimoga,Molestation,2024,35,17,18,6,25,4,10,25,2
Bengaluru Urban,Murder,2024,4,1,3,0,3,1,2,2,0
Bidar,Domestic Violence,2024,84,38,46,13,51,20,56,28,6
Chikkaballapura,Cyber Crime,2024,62,28,34,11,40,11,27,35,12
Mandya,Theft,2024,116,71,45,13,92,11,33,83,14
Chamarajanagar,Theft,2024,142,57,85,26,118,0,62,80,6
Yadgir,Murder,2024,0,0,0,0,0,0,0,0,0
Bengaluru Urban,Robbery,2024,15,9,6,1,10,4,13,2,1
RuralAreaX,Kidnapping,2024,2,0,2,0,1,1,0,2,0
Koppal,Cheating,2024,90,34,56,8,58,24,23,67,5
Bidar,Robbery,2024,15,7,8,0,11,4,8,7,2
Uttara Kannada,Dowry Death,2024,6,2,4,0,3,3,2,4,0
Ballari,Molestation,2024,24,8,16,0,18,6,13,11,6
Kalaburagi,Molestation,2024,27,14,13,0,18,9,8,19,1
Vijayanagar,Molestation,2024,48,17,31,2,33,13,25,23,8
Bengaluru Rural,Dowry Death,2024,7,2,5,1,4,2,4,3,1
Davangere,Cyber Crime,2024,64,34,30,9,40,15,32,32,4
Bengaluru Urban,Molestation,2024,23,16,7,3,17,3,13,10,0
Mysuru,Robbery,2024,9,3,6,1,5,3,3,6,0
Mangaluru,Murder,2024,0,0,0,0,0,0,0,0,0
Mangaluru,Rape,2024,34,18,16,2,20,12,14,20,3
Yadgir,Cheating,2024,111,71,40,11,79,21,47,64,16
Kolar,Theft,2024,106,53,53,16,80,10,69,37,32
Shimoga,Dowry Death,2024,2,0,2,0,1,1,1,1,0
Davangere,Rape,2024,43,22,21,2,35,6,10,33,1
Bidar,Molestation,2024,24,12,12,3,19,2,13,11,1
Shivamogga,Murder,2024,6,2,4,0,4,2,3,3,1
Belagavi,Cheating,2024,100,57,43,18,78,4,27,73,10
Chamarajanagar,Theft,2024,138,44,94,13,85,40,81,57,28
Mangaluru,Cyber Crime,2024,67,20,47,5,51,11,30,37,9
Shimoga,Murder,2024,2,0,2,0,1,1,1,1,0
Hubballi,Molestation,2024,28,10,18,3,23,2,8,20,3
Chamarajanagar,Molestation,2024,28,10,18,4,17,7,24,4,7
Bengaluru Urban,Kidnapping,2024,9,3,6,1,6,2,7,2,3
Vijayapura,Robbery,2024,20,6,14,3,15,2,14,6,2
Bengaluru Urban,Molestation,2024,18,9,9,3,14,1,6,12,0
Raichur,Domestic Violence,2024,69,36,33,5,44,20,38,31,12
Ballari,Murder,2024,2,0,2,0,1,1,1,1,0
Raichur,Cheating,2024,99,61,38,12,77,10,70,29,27
Davangere,Rape,2024,33,15,18,3,24,6,25,8,2
Ballari,Domestic Violence,2024,92,43,49,6,65,21,53,39,21
Udupi,Domestic Violence,2024,79,49,30,5,50,24,64,15,26
RuralAreaX,Cyber Crime,2024,65,33,32,10,41,14,44,21,15
Bengaluru Rural,Kidnapping,2024,3,1,2,0,2,1,0,3,0
Shivamogga,Kidnapping,2024,2,0,2,0,1,1,1,1,0
Chitradurga,Rape,2024,40,27,13,2,32,6,34,6,2
Udupi,Rape,2024,26,17,9,3,19,4,7,19,1
Hubballi,Kidnapping,2024,9,5,4,1,7,1,7,2,2
Kodagu,Murder,2024,8,3,5,0,5,3,6,2,0
Shivamogga,Murder,2024,7,4,3,1,5,1,5,2,0
Uttara Kannada,Rape,2024,31,21,10,3,19,9,14,17,3
Mandya,Molestation,2024,32,10,22,5,20,7,19,13,3
Raichur,Molestation,2024,23,15,8,2,15,6,9,14,2
Bengaluru Rural,Molestation,2024,28,8,20,2,22,4,10,18,0
Chikkaballapura,Murder,2024,7,3,4,0,5,2,3,4,0
Kodagu,Molestation,2024,30,18,12,4,19,7,14,16,5
Chamarajanagar,Theft,2024,136,57,79,21,83,32,90,46,8
Bengaluru Urban,Dowry Death,2024,4,2,2,0,3,1,2,2,0
Mandya,Dowry Death,2024,2,1,1,0,1,1,0,2,0
Chikkaballapura,Dowry Death,2024,1,0,1,0,0,1,0,1,0
Shimoga,Domestic Violence,2024,68,42,26,5,53,10,34,34,15
Hassan,Cyber Crime,2024,50,24,26,7,30,13,40,10,17
Chamarajanagar,Molestation,2024,7,4,3,0,4,3,2,5,0
Chamarajanagar,Cyber Crime,2024,75,28,47,4,52,19,57,18,28
Tumakuru,Murder,2024,4,1,3,0,3,1,2,2,0
Mangaluru,Kidnapping,2024,2,1,1,0,1,1,1,1,0
Chitradurga,Cheating,2024,84,57,27,6,54,24,47,37,9
Tumakuru,Theft,2024,116,80,36,11,91,14,90,26,44
Bengaluru Rural,Dowry Death,2024,1,0,1,0,0,1,0,1,0
Koppal,Rape,2024,43,18,25,5,32,6,21,22,3
RuralAreaX,Theft,2024,155,70,85,26,129,0,117,38,28
RuralAreaX,Cyber Crime,2024,68,29,39,3,46,19,27,41,4
Vijayanagar,Robbery,2024,18,11,7,0,11,7,8,10,0
Kodagu,Rape,2024,39,11,28,5,24,10,17,22,5
Udupi,Theft,2024,130,47,83,15,100,15,85,45,21
Chitradurga,Molestation,2024,19,8,11,1,15,3,9,10,2
Bengaluru Rural,Dowry Death,2024,4,2,2,0,3,1,2,2,0
Chikkaballapura,Molestation,2024,26,9,17,3,17,6,20,6,4
Vijayapura,Rape,2024,29,9,20,1,19,9,10,19,2
Koppal,Theft,2024,126,78,48,13,92,21,91,35,38
Bengaluru Urban,Murder,2024,0,0,0,0,0,0,0,0,0
RuralAreaX,Dowry Death,2024,10,5,5,1,7,2,8,2,2
Mandya,Kidnapping,2024,8,3,5,0,6,2,2,6,0
Kodagu,Cheating,2024,103,55,48,9,67,27,41,62,9
Kolar,Cyber Crime,2024,65,32,33,6,46,13,49,16,17
Koppal,Theft,2024,117,55,62,12,93,12,104,13,21
Udupi,Murder,2024,11,6,5,1,8,2,5,6,0
Belagavi,Kidnapping,2024,8,3,5,1,6,1,5,3,1
Raichur,Cheating,2024,109,72,37,12,69,28,33,76,7
Kodagu,Cyber Crime,2024,60,31,29,4,37,19,44,16,7
Udupi,Cyber Crime,2024,55,17,38,1,36,18,41,14,19
Bagalkot,Robbery,2024,13,6,7,0,9,4,8,5,3
RuralAreaX,Rape,2024,43,29,14,2,26,15,10,33,4
Vijayanagar,Cheating,2024,108,58,50,18,65,25,71,37,23
Ballari,Rape,2024,40,21,19,6,30,4,13,27,1
Uttara Kannada,Cyber Crime,2024,34,17,17,1,22,11,25,9,4
Mandya,Molestation,2024,27,12,15,2,18,7,21,6,8
Raichur,Rape,2024,51,20,31,1,41,9,13,38,1
Bengaluru Rural,Rape,2024,33,22,11,3,27,3,20,13,1
Koppal,Rape,2024,50,29,21,3,41,6,31,19,7
Tumakuru,Dowry Death,2024,7,4,3,1,5,1,5,2,1
RuralAreaX,Robbery,2024,20,12,8,2,12,6,12,8,3
Chikkaballapura,Domestic Violence,2024,71,35,36,9,45,17,21,50,8
Hubballi,Cyber Crime,2024,59,30,29,4,38,17,44,15,18
Shimoga,Molestation,2024,30,16,14,4,18,8,9,21,0
Kodagu,Cheating,2024,94,65,29,5,76,13,38,56,13
Dharwad,Dowry Death,2024,7,4,3,1,4,2,4,3,1
